locationname,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Binge drinking among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Current smoking among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mammography use among women aged 50-74 years,Mental health not good for >=14 days among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Physical health not good for >=14 days among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years,Stroke among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years
17031804810,9.3,23.8,20.3,7.3,81.0,85.5,2.8,6.6,6.0,8.8,13.6,15.2,9.3,63.8,30.0,32.8,78.1,10.9,22.2,25.9,32.8,27.4,10.8,33.4,3.1,75.0,69.2,75.8
17031804901,5.6,22.4,22.4,8.0,86.9,88.1,2.5,5.0,5.2,8.1,9.0,11.1,7.3,69.4,27.9,31.8,78.7,8.9,16.4,23.9,37.8,32.0,8.4,30.1,2.5,74.1,78.1,76.5
17031804902,7.8,23.9,20.5,8.0,83.0,87.0,2.8,6.1,6.2,8.5,11.7,13.0,8.9,66.5,29.6,33.3,77.4,9.8,19.7,24.3,35.7,30.8,9.8,31.4,3.0,75.8,73.1,76.7
17031805001,6.1,25.2,20.8,9.0,86.6,89.4,2.8,5.9,6.1,8.3,9.1,11.4,8.3,69.5,30.5,34.3,77.6,8.8,17.6,24.3,37.5,32.5,9.2,29.4,2.9,76.8,77.5,78.1
17031805002,11.4,21.3,21.0,6.3,79.6,82.7,2.7,6.4,5.8,8.7,18.2,16.7,9.3,61.1,28.1,30.7,76.1,11.6,23.8,26.3,31.4,27.4,10.9,34.6,3.0,72.1,64.5,73.6
17031805105,14.8,18.2,22.8,4.9,79.6,78.4,2.6,6.1,5.0,9.1,26.6,18.3,8.7,56.1,26.1,28.5,76.3,13.3,26.5,29.4,28.6,24.9,11.8,35.7,2.7,66.3,59.4,70.4
17031805106,7.2,25.0,20.7,8.5,84.6,87.9,2.8,6.2,6.2,8.5,10.8,13.1,8.6,69.2,30.0,33.4,77.8,9.8,19.2,24.9,35.6,31.1,9.9,30.9,3.0,76.5,74.1,77.1
17031805107,11.8,15.5,24.7,4.2,78.3,78.3,2.0,5.0,3.9,8.7,22.4,18.2,7.1,58.7,22.2,25.2,76.8,12.8,23.4,26.8,30.2,26.9,9.9,36.2,2.1,62.8,61.6,69.5
17031805108,8.8,15.3,23.9,4.4,80.7,80.9,2.0,4.3,3.8,8.0,18.8,15.1,7.0,61.5,22.5,25.9,77.9,11.0,21.0,25.6,32.7,29.3,8.7,35.5,2.0,64.8,66.7,71.0
17031805109,7.6,26.2,20.1,8.8,83.8,88.1,2.9,6.7,6.7,8.6,10.7,13.4,9.4,68.0,31.8,35.0,76.7,9.9,20.1,25.1,36.0,31.3,10.4,31.0,3.2,77.5,73.6,77.8
17031805110,7.9,28.6,18.4,10.5,84.8,88.9,3.3,6.9,7.7,8.3,10.7,11.9,9.4,68.5,33.7,35.4,76.5,9.2,20.9,23.7,35.9,28.7,10.5,29.6,3.7,79.6,74.4,79.3
17031805111,11.0,18.9,22.7,5.2,79.7,81.4,2.4,5.8,4.9,8.8,19.2,17.6,8.5,59.5,25.9,28.8,77.2,12.2,23.6,27.4,30.8,27.7,10.7,36.0,2.6,68.5,63.6,72.1
17031805112,11.9,26.1,17.9,8.3,77.8,85.8,3.3,7.6,7.5,8.6,17.7,15.2,10.8,61.2,32.1,34.3,75.6,10.8,26.1,24.4,32.0,25.7,12.0,33.1,3.8,77.7,65.8,76.8
17031805201,7.9,25.7,18.4,8.4,80.6,87.9,3.0,6.6,6.8,8.2,12.2,13.3,10.4,66.0,32.4,35.5,76.7,9.6,22.2,23.2,34.4,29.5,10.5,32.1,3.3,78.4,71.8,78.2
17031805202,7.2,22.8,20.5,7.9,83.4,87.6,2.6,5.5,5.7,8.0,11.0,12.3,8.3,66.6,28.5,32.0,78.0,9.3,19.1,23.4,36.6,29.9,9.2,31.8,2.8,75.2,74.3,76.6
17031805301,10.2,24.9,17.6,7.9,77.5,86.5,3.0,7.0,7.1,8.3,14.9,14.7,10.9,62.8,31.6,34.7,75.4,10.2,24.3,23.2,33.5,29.0,11.3,33.5,3.4,77.6,67.7,77.2
17031805302,7.8,24.7,17.8,8.1,79.1,87.6,2.9,6.3,6.7,8.0,12.4,12.9,10.5,65.7,31.6,35.0,77.3,9.4,21.9,22.8,34.2,29.9,10.3,32.5,3.2,78.4,71.2,78.0
17031805401,9.9,26.7,19.9,8.9,82.5,86.6,3.1,7.4,7.3,8.8,13.7,14.6,9.6,65.6,32.6,34.9,76.0,10.6,22.1,25.2,34.1,28.7,11.4,31.5,3.5,77.4,70.4,77.1
17031805402,10.5,27.7,19.2,8.8,80.9,86.0,3.3,7.9,7.8,8.9,13.6,15.8,10.6,63.9,34.1,35.9,75.8,11.2,23.9,26.2,32.7,27.3,12.2,32.8,3.8,78.0,68.1,77.2
17031805501,7.9,24.8,21.5,8.4,85.1,87.2,2.8,6.4,6.2,8.8,10.6,13.2,8.3,66.9,29.9,33.4,78.1,10.0,19.0,25.2,36.2,29.9,10.0,30.3,3.0,75.7,74.2,76.6
17031805502,5.5,24.3,21.1,8.9,87.1,89.3,2.6,5.4,5.7,8.4,8.0,10.4,7.7,70.2,29.7,34.0,78.9,8.7,15.8,23.8,39.2,33.2,8.7,28.6,2.7,76.5,79.4,78.0
17031805600,4.7,21.8,23.4,7.8,87.7,89.0,2.3,4.7,4.7,8.3,7.6,10.2,6.7,70.2,26.5,31.8,79.3,8.7,14.8,23.9,39.8,34.3,8.0,29.1,2.2,73.6,80.5,76.7
17031805701,5.4,24.4,21.5,8.9,86.9,89.3,2.6,5.3,5.6,8.4,7.9,10.4,7.6,70.3,29.4,33.6,78.9,8.8,16.0,24.0,38.8,32.6,8.7,28.9,2.6,76.2,79.6,78.0
17031805702,6.0,23.5,21.7,8.5,86.1,88.4,2.6,5.4,5.6,8.4,8.9,11.2,7.7,68.9,28.6,32.6,77.7,9.1,16.9,23.8,38.1,32.2,8.8,29.7,2.7,75.8,77.7,77.2
