CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031070103,Illinois,Cook County,1,1709,1305,0,0.0,0.0,0,0,0,0,0,0,10.1,68958.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0,80.0,79.0,1412.0,55.0,173.0,0.0,7.0,62.0,93.0,574.0,0.0
17031070200,Illinois,Cook County,1,3900,2132,0,154.0,3.95,0,0,0,0,0,0,9.6,177647.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0,349.0,282.0,3327.0,132.0,277.0,0.0,11.0,153.0,191.0,609.0,46.0
17031070300,Illinois,Cook County,1,3367,1720,0,0.0,0.0,0,0,0,0,0,0,7.7,195288.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,306.0,94.0,3025.0,53.0,166.0,1.0,4.0,118.0,170.0,372.0,32.0
17031070400,Illinois,Cook County,1,2984,1552,0,0.0,0.0,0,0,0,0,0,0,10.2,197778.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,335.0,358.0,2646.0,109.0,124.0,1.0,2.0,102.0,197.0,499.0,300.0
17031070500,Illinois,Cook County,1,2928,1329,0,225.0,7.68,0,0,0,0,1,0,4.7,250001.0,0,1,0,1,0,1,,1289.0,,,130.0,,1289.0,44.01,130.0,4.43,161.0,5.51,345.0,11.8,1113.0,38.02,85.0,2.92,50.0,1.72,0.0,0.0,1.0,0.03,39.0,1.33,72.0,2.46,129.0,9.71,18.0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,400.0,399.0,2647.0,97.0,100.0,2.0,2.0,80.0,151.0,246.0,41.0
17031070600,Illinois,Cook County,1,2981,1327,0,0.0,0.0,0,0,0,0,0,0,4.7,181500.0,0,1,0,1,0,0,,1053.0,,,192.0,,1053.0,35.31,192.0,6.43,170.0,5.7,33.0,1.09,949.0,31.84,12.0,0.39,52.0,1.73,0.0,0.0,0.0,0.01,40.0,1.34,41.0,1.39,55.0,4.13,7.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,618.0,114.0,2630.0,30.0,150.0,0.0,8.0,163.0,224.0,98.0,19.0
17031070700,Illinois,Cook County,1,3481,1615,0,2.0,0.06,0,0,0,0,0,0,16.7,191125.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.0,690.0,175.0,2766.0,212.0,243.0,0.0,10.0,250.0,403.0,265.0,131.0
17031071000,Illinois,Cook County,1,4442,1173,0,1850.0,41.65,0,0,0,0,0,0,9.5,201719.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,291.0,96.0,3809.0,214.0,195.0,2.0,3.0,219.0,297.0,183.0,7.0
17031071100,Illinois,Cook County,1,2944,1183,0,472.0,16.03,0,0,0,0,0,0,10.1,227784.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,251.0,194.0,2590.0,93.0,141.0,0.0,10.0,110.0,178.0,263.0,0.0
17031071200,Illinois,Cook County,1,1906,1025,0,0.0,0.0,0,0,0,0,0,0,8.9,138125.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,247.0,229.0,1679.0,64.0,90.0,0.0,1.0,72.0,116.0,372.0,30.0
17031071300,Illinois,Cook County,1,3513,1925,0,23.0,0.65,0,0,0,0,0,0,8.8,205625.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,485.0,271.0,3148.0,54.0,204.0,0.0,3.0,104.0,129.0,445.0,0.0
17031071400,Illinois,Cook County,1,4570,2924,0,241.0,5.27,0,0,0,0,0,0,16.4,196250.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,333.0,504.0,3888.0,260.0,281.0,1.0,4.0,136.0,214.0,1207.0,123.0
17031071500,Illinois,Cook County,1,5768,3896,0,0.0,0.0,0,0,0,0,0,0,4.7,187841.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,474.0,484.0,5100.0,282.0,245.0,10.0,8.0,123.0,236.0,1480.0,0.0
17031071600,Illinois,Cook County,1,1783,788,0,0.0,0.0,0,0,0,0,0,0,8.8,181771.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,381.0,177.0,1543.0,101.0,69.0,1.0,3.0,66.0,83.0,157.0,68.0
17031071700,Illinois,Cook County,1,1652,741,0,10.0,0.61,0,0,0,0,0,0,2.4,198676.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,329.0,137.0,1330.0,195.0,64.0,0.0,3.0,60.0,75.0,117.0,11.0
17031071800,Illinois,Cook County,1,2646,1173,0,0.0,0.0,0,0,0,0,0,0,4.6,208977.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,612.0,162.0,2051.0,416.0,98.0,6.0,2.0,73.0,107.0,192.0,87.0
17031080100,Illinois,Cook County,1,6013,3946,0,0.0,0.0,0,0,0,0,0,0,8.1,231833.0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,421.0,1600.0,5448.0,150.0,275.0,0.0,4.0,136.0,231.0,1472.0,76.0
17031080201,Illinois,Cook County,1,3287,2418,0,0.0,0.0,0,0,0,0,0,0,1.2,166711.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,154.0,761.0,2941.0,109.0,144.0,0.0,2.0,91.0,117.0,686.0,53.0
17031080202,Illinois,Cook County,1,3498,2432,0,0.0,0.0,0,0,0,0,0,0,9.5,171964.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,200.0,495.0,3112.0,79.0,215.0,0.0,4.0,88.0,158.0,967.0,15.0
17031080300,Illinois,Cook County,1,4315,2607,0,0.0,0.0,0,0,0,0,0,0,5.2,190577.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,395.0,188.0,3590.0,266.0,327.0,2.0,5.0,125.0,192.0,740.0,28.0
17031080400,Illinois,Cook County,1,4317,2009,0,25.0,0.58,0,0,0,0,0,1,23.0,36791.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289.0,1199.0,273.0,1545.0,2568.0,94.0,1.0,4.0,105.0,117.0,802.0,624.0
17031081000,Illinois,Cook County,1,7546,4723,0,1107.0,14.67,0,0,0,0,0,0,19.9,138056.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881.0,253.0,1340.0,5672.0,925.0,684.0,2.0,11.0,252.0,422.0,2689.0,584.0
17031081100,Illinois,Cook County,1,3640,2675,0,10.0,0.27,0,0,0,0,0,0,16.2,99185.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.0,135.0,299.0,2713.0,466.0,337.0,4.0,6.0,114.0,197.0,1758.0,289.0
17031081201,Illinois,Cook County,1,4059,2502,0,492.0,12.12,0,0,0,0,0,0,6.7,250001.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.0,161.0,861.0,3422.0,175.0,318.0,1.0,2.0,141.0,207.0,1482.0,18.0
17031081202,Illinois,Cook County,1,2995,1893,0,2.0,0.07,0,0,0,0,0,0,4.2,208750.0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,196.0,943.0,2713.0,74.0,135.0,0.0,4.0,69.0,123.0,550.0,0.0
17031081300,Illinois,Cook County,1,4884,3322,0,4.0,0.08,0,0,0,0,0,0,12.3,145357.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.0,233.0,1431.0,4110.0,179.0,485.0,0.0,2.0,108.0,187.0,1832.0,0.0
17031081401,Illinois,Cook County,1,2279,1551,0,39.0,1.71,0,0,0,0,0,0,12.3,216576.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,126.0,585.0,1733.0,130.0,343.0,0.0,6.0,67.0,122.0,749.0,22.0
17031081402,Illinois,Cook County,1,4243,2708,0,0.0,0.0,0,0,0,0,0,0,11.1,187850.0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,316.0,498.0,3027.0,280.0,784.0,3.0,8.0,141.0,209.0,1096.0,77.0
17031081403,Illinois,Cook County,1,6229,4278,0,0.0,0.0,0,0,0,0,0,0,10.8,182952.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,304.0,433.0,4384.0,276.0,1349.0,6.0,0.0,214.0,359.0,2308.0,29.0
17031081500,Illinois,Cook County,1,4379,2941,0,11.0,0.25,0,0,0,0,0,0,9.7,196620.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,225.0,387.0,3398.0,147.0,698.0,4.0,11.0,121.0,208.0,984.0,54.0
17031081600,Illinois,Cook County,1,3545,2556,0,0.0,0.0,0,0,0,0,0,0,8.0,164048.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0,140.0,255.0,2811.0,125.0,481.0,1.0,4.0,123.0,181.0,1550.0,12.0
17031081700,Illinois,Cook County,1,3102,2014,0,115.0,3.71,0,0,0,0,0,0,7.2,136250.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,180.0,128.0,2119.0,321.0,403.0,0.0,13.0,246.0,318.0,1384.0,74.0
17031081800,Illinois,Cook County,1,6866,4592,0,3.0,0.04,0,0,0,0,0,0,2.6,222589.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0,360.0,178.0,5783.0,175.0,700.0,0.0,6.0,202.0,295.0,1693.0,0.0
17031081900,Illinois,Cook County,1,1053,481,0,0.0,0.0,0,0,0,0,0,1,22.6,74327.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,208.0,93.0,428.0,542.0,54.0,0.0,0.0,29.0,23.0,96.0,100.0
