,CensusTract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
21604,17031730700,2331,746,0,0.0,0.0,0,1,0,0,0,1,21.4,49615.0,0,1,0,1,0,0,0,0,1397.0,59.93,807.0,34.64,394.0,16.92,219.0,9.41,5.0,0.23,1375.0,59.0,1.0,0.04,0.0,0.0,0.0,0.0,15.0,0.65,5.0,0.23,51.0,6.82,161.0,21.64,1251.0,638.0,413.0,13.0,2284.0,1.0,0.0,1.0,32.0,20.0,73.0,264.0
21605,17031740100,3048,1209,0,0.0,0.0,0,0,0,0,0,0,3.6,101250.0,0,1,0,1,0,0,0,0,1408.0,46.21,225.0,7.39,347.0,11.37,135.0,4.42,1316.0,43.18,27.0,0.88,7.0,0.23,0.0,0.0,0.0,0.0,58.0,1.92,157.0,5.14,38.0,3.15,32.0,2.62,404.0,753.0,345.0,2861.0,46.0,14.0,0.0,3.0,124.0,275.0,81.0,66.0
21606,17031740200,6547,2144,0,716.0,10.94,0,0,0,0,0,0,5.8,114125.0,0,1,0,1,0,0,0,0,4291.0,65.53,493.0,7.54,869.0,13.27,477.0,7.29,3748.0,57.25,323.0,4.94,43.0,0.65,3.0,0.05,4.0,0.06,169.0,2.59,375.0,5.72,93.0,4.33,62.0,2.91,550.0,1467.0,755.0,5947.0,337.0,52.0,3.0,10.0,198.0,513.0,78.0,89.0
21607,17031740300,4713,1782,0,4.0,0.08,0,0,0,0,0,0,2.7,129063.0,0,1,0,1,0,0,0,0,4712.0,99.98,465.0,9.86,1156.0,24.52,512.0,10.86,4515.0,95.8,55.0,1.16,24.0,0.51,0.0,0.0,24.0,0.51,94.0,1.99,306.0,6.49,20.0,1.11,0.0,0.0,436.0,1156.0,512.0,4516.0,55.0,24.0,0.0,24.0,94.0,306.0,19.0,0.0
21608,17031740400,4785,1855,0,6.0,0.13,0,0,0,0,0,0,3.8,107365.0,0,1,0,1,0,0,0,0,1405.0,29.36,115.0,2.4,322.0,6.72,128.0,2.67,1034.0,21.62,313.0,6.55,7.0,0.15,0.0,0.0,2.0,0.04,48.0,1.0,95.0,1.99,31.0,1.7,18.0,0.98,551.0,1152.0,530.0,4016.0,574.0,43.0,1.0,11.0,140.0,288.0,135.0,58.0
21609,17031750100,4147,1434,0,4.0,0.1,0,1,0,1,1,1,19.4,53750.0,0,1,0,1,0,0,0,1,2287.0,55.14,1533.0,36.96,654.0,15.77,358.0,8.63,27.0,0.65,2216.0,53.44,10.0,0.24,0.0,0.0,1.0,0.01,33.0,0.8,23.0,0.55,209.0,14.58,182.0,12.71,1688.0,987.0,858.0,35.0,4046.0,10.0,0.0,1.0,55.0,39.0,239.0,334.0
21610,17031750200,3227,1275,0,16.0,0.5,0,0,0,0,0,0,10.8,117813.0,0,1,0,1,0,0,0,0,1370.0,42.45,431.0,13.36,334.0,10.36,190.0,5.89,182.0,5.65,1136.0,35.2,17.0,0.52,0.0,0.0,0.0,0.0,35.0,1.09,32.0,0.98,59.0,4.66,49.0,3.84,418.0,754.0,392.0,1262.0,1825.0,34.0,0.0,1.0,105.0,117.0,164.0,128.0
21611,17031750300,2530,955,0,0.0,0.0,0,0,0,0,0,0,3.9,107955.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,681.0,240.0,2258.0,211.0,16.0,0.0,3.0,42.0,100.0,59.0,33.0
21612,17031750400,3009,1165,0,0.0,0.0,0,0,0,0,0,0,5.4,114432.0,0,1,0,1,0,0,0,0,1088.0,36.17,147.0,4.89,271.0,8.99,103.0,3.44,541.0,17.99,502.0,16.69,4.0,0.15,0.0,0.0,4.0,0.13,36.0,1.21,40.0,1.34,9.0,0.74,10.0,0.83,514.0,727.0,304.0,2026.0,875.0,15.0,0.0,4.0,89.0,152.0,29.0,28.0
21613,17031750500,5936,2082,0,379.0,6.38,0,1,0,0,0,1,24.4,66359.0,0,1,0,1,0,0,0,0,1533.0,25.83,587.0,9.9,399.0,6.72,196.0,3.3,125.0,2.11,1366.0,23.02,2.0,0.03,0.0,0.0,1.0,0.01,39.0,0.65,37.0,0.63,53.0,2.56,59.0,2.84,1987.0,1437.0,1151.0,1160.0,4609.0,19.0,0.0,5.0,143.0,157.0,238.0,226.0
